Entity,Year,Liver,Breast,Stomach,Colon,Brain and nervous system,Leukemia
Bangladesh,2010-10-13,2278.184310571361,4722.023510769299,7167.91601443232,6089.723422304978,3639.4859054748995,3872.9730166739337
Bangladesh,2015-06-08,2621.029149570405,6505.143931825683,7181.497429318985,7334.093309928975,3862.01225435174,3885.6107085711046
Bangladesh,2017-07-07,2864.0692626925343,6927.208093082913,7688.389007857138,8147.059207961125,4132.073518627573,4033.6238689319866
Belgium,2000-02-11,656.4111884495992,2708.966665727123,1453.316507056389,3490.6603933232527,642.0810949570937,1162.6132231416084
Belgium,2005-05-15,637.7866713249363,2561.727646282218,1297.8726747518526,3463.5725189441664,568.8962741574397,1215.6432579963698
Belgium,2010-10-13,806.2086801422157,2649.061174352169,1399.8920690999716,3608.408341069221,629.4959924382756,1478.0913082746804
Belgium,2015-06-08,972.8014216250772,2621.4841951517224,1346.196000228874,3607.0019899615263,722.7179580407591,1367.5614259384226
Belgium,2017-07-07,929.9941177748643,2489.9032225568685,1304.353848182071,3604.909093777682,718.4788763331226,1334.2197293095353
Benin,2000-02-11,608.6839026275476,213.3728778191377,315.54236059138105,172.53213857120065,48.48417752156677,141.40064433393215
Benin,2005-05-15,570.9616065429246,247.6863221224853,366.09521245680304,208.6811267212389,59.773053414385785,161.298487323949
Benin,2010-10-13,589.4110757256168,303.81551750809285,428.59476598307936,249.11568093420996,74.64739235763494,190.50630840657317
Benin,2015-06-08,663.9926718377862,386.4204537789283,491.74665493106465,297.11861208041734,97.17214522369946,236.0075257911789
Benin,2017-07-07,694.3882557861039,416.7942796161927,514.4957482151689,317.250878453442,101.4482323591608,242.2042164495819
Botswana,2000-02-11,69.96314356899352,60.05659263734849,44.47577067305051,62.63605773578947,13.24282697358196,33.75841717694924
Botswana,2005-05-15,75.30259253344741,97.68683077439421,50.5719471350562,84.92909579425671,17.11617021491065,42.08300943691057
Botswana,2010-10-13,77.45469939135705,124.16534714462534,55.56167223506895,92.82835357929687,20.05981800118194,43.692504369237696
Botswana,2015-06-08,92.74367564267298,142.70477425854358,58.91059670485175,103.25728123139947,23.864331387523194,48.34030493271294
Botswana,2017-07-07,97.36387449117498,143.9138756580299,59.70096688038611,107.18210024838771,25.095173383251108,49.84322057681714
Brazil,2000-02-11,5873.956554410666,12210.260834967889,17338.458612548766,12301.47926229583,5934.5030184766665,6538.285308648513
Brazil,2005-05-15,6988.071936195254,13947.644580511878,18399.05372828808,15162.369973693216,7021.163064608939,7184.306885157436
Brazil,2010-10-13,8410.781911565964,15979.367710283213,19247.898577608128,18311.5302882311,8147.008530913173,7789.846913650538
Brazil,2015-06-08,10596.936410453727,17473.485361921797,19633.970671647243,21099.211896483997,9354.595498715978,8201.342454894075
Brazil,2017-07-07,11851.315609856309,18725.1241613988,20707.53836329773,22851.15271009566,10114.345558957635,8634.579425161264
Bulgaria,2000-02-11,754.8100127849126,1240.9979298655694,1765.886205167298,2456.596236818556,496.1787940803195,485.6243686343889
Bulgaria,2005-05-15,798.4459555451174,1331.3397257108495,1683.5788257543688,2765.287051216388,593.1301614727128,523.9912317734069
