Entity,Year,0-4 Years,5-14 Years,15-49 Years,70+ Years,50-69 Years
Botswana,2010,6.926741633366975,9.509350645998452,219.1388084680744,511.3058294633388,506.25027732276465
Botswana,2015,7.401964794622679,11.92623904223921,244.5829591403724,579.5575788149644,589.0723879994104
Botswana,2017,7.466383844238043,12.407534361463654,248.90348880499158,597.782161147062,620.2595290160338
Brazil,2000,1482.2449079485687,1999.4191996823145,26654.116609938625,60179.16413813036,64227.988598740354
Brazil,2005,1312.3848856660927,2070.0627066262828,28497.92842393379,72558.73559220822,72766.8249352822
Brazil,2010,1144.6049494125639,1992.5345838104333,29817.51519835601,85989.60668004499,83506.92228202219
Brazil,2015,1002.2683460938248,1631.882476958889,29767.515398675743,99245.2974105256,95000.36740134154
Brazil,2017,917.3289927129173,1570.597945912339,31155.348969768078,108225.47716237321,103100.58429836345
Bulgaria,2000,19.650447730618964,42.710028729481344,1685.7526431927413,7211.316152416844,7636.23397338461
Bulgaria,2005,18.882275601735376,36.73742489451564,1617.402313563578,8412.865562621195,8088.224385967514
Bulgaria,2010,20.846356596737163,32.2748876010396,1509.2683567581296,8958.327352882303,8442.405056943027
Bulgaria,2015,15.368079585266075,25.4523247385193,1430.6650501732172,8740.483480640938,8611.881776318029
Bulgaria,2017,13.949697426558073,26.089296554228053,1432.469354580379,8819.917902042227,8441.819088377344
Burkina Faso,2000,317.7758740721455,118.3196643549831,1500.542902191497,2454.127997393881,2914.564427719978
Burkina Faso,2005,300.2955880620006,113.57666117655613,1594.964121835844,2578.0737970187824,2978.1737039339228
Burkina Faso,2010,349.16579076111975,118.64346581657787,1901.5627665776003,2945.3754699854576,3509.414999117029
Burkina Faso,2015,488.3210294467921,151.99122738091646,2250.4736989860726,3359.046474126003,4206.124176571522
Burkina Faso,2017,524.1156540850628,162.11169717596755,2395.3667482259925,3515.0628596444258,4499.624923295719
Burundi,2000,166.30040026302504,100.34497871190055,989.7915553842979,803.4655385674347,1652.159520989577
Burundi,2005,189.8824618345405,114.608113543795,938.8405977038764,807.3587111873823,1582.902788328469
Burundi,2010,203.032355147539,128.07461909181185,970.5042139369984,869.5041237883438,1717.4531646583325
Burundi,2015,220.16005933260402,142.14325413058472,1055.9664601992226,979.020454644694,2066.583978766428
Burundi,2017,210.84135076001985,142.6688879916955,1110.1766288125916,1035.5465178042261,2211.7498063167227
Cambodia,2000,121.89487026610549,161.67299404678118,1729.9795003957959,2209.4864381239718,3612.44703863985
